"","5","6","7"
1,0.51274577046182,0.0277706332876086,-0.153156435756744
1,0.523262459990855,0.0554983996342021,-0.140374942844079
1,0.531635802469136,0.0831404320987654,-0.128279320987654
1,0.537951531778692,0.110653863740283,-0.116826703246456
1,0.542295381801555,0.137995827617741,-0.10597422267947
1,0.544753086419753,0.165123456790123,-0.095679012345679
1,0.545410379515318,0.191993884316415,-0.0858982053040695
1,0.544352994970279,0.218564243255601,-0.076588934613626
1,0.541666666666667,0.244791666666667,-0.0677083333333333
1,0.537437128486511,0.270633287608596,-0.0592135345221765
1,0.531750114311843,0.296046239140375,-0.0510616712391404
1,0.524691358024691,0.320987654320988,-0.0432098765432099
1,0.516346593507087,0.345414666209419,-0.0356152834933699
1,0.506801554641061,0.369284407864655,-0.0282350251486054
1,0.496141975308642,0.392554012345679,-0.0210262345679012
1,0.484453589391861,0.415180612711477,-0.0139460448102423
1,0.471822130772748,0.437121342021033,-0.00695158893461363
1,0.458333333333333,0.458333333333333,0
1,0.444072930955647,0.478773719707362,0.00695158893461363
1,0.429126657521719,0.498399634202103,0.0139460448102423
1,0.41358024691358,0.517168209876543,0.0210262345679012
1,0.39751943301326,0.535036579789666,0.0282350251486054
1,0.381029949702789,0.551961877000457,0.0356152834933699
1,0.364197530864197,0.567901234567901,0.0432098765432099
1,0.347107910379515,0.582811785550983,0.0510616712391404
1,0.329846822130773,0.596650663008688,0.0592135345221765
1,0.3125,0.609375,0.0677083333333333
1,0.295153177869227,0.620941929583905,0.076588934613626
1,0.277892089620485,0.631308584819387,0.0858982053040695
1,0.260802469135802,0.640432098765432,0.095679012345679
1,0.243970050297211,0.648269604481024,0.10597422267947
1,0.22748056698674,0.654778235025149,0.116826703246456
1,0.21141975308642,0.65991512345679,0.128279320987654
1,0.195873342478281,0.663637402834934,0.140374942844079
1,0.180927069044353,0.665902206218564,0.153156435756744
1,0.166666666666667,0.666666666666667,0.166666666666667
1,0.153156435756744,0.665902206218564,0.180927069044353
1,0.140374942844079,0.663637402834934,0.195873342478281
1,0.128279320987654,0.65991512345679,0.21141975308642
1,0.116826703246456,0.654778235025149,0.22748056698674
1,0.10597422267947,0.648269604481024,0.243970050297211
1,0.095679012345679,0.640432098765432,0.260802469135802
1,0.0858982053040695,0.631308584819387,0.277892089620485
1,0.076588934613626,0.620941929583905,0.295153177869227
1,0.0677083333333333,0.609375,0.3125
1,0.0592135345221765,0.596650663008688,0.329846822130773
1,0.0510616712391404,0.582811785550983,0.347107910379515
1,0.0432098765432099,0.567901234567901,0.364197530864197
1,0.0356152834933699,0.551961877000457,0.381029949702789
1,0.0282350251486054,0.535036579789666,0.39751943301326
1,0.0210262345679012,0.517168209876543,0.41358024691358
1,0.0139460448102423,0.498399634202103,0.429126657521719
1,0.00695158893461363,0.478773719707362,0.444072930955647
1,0,0.458333333333333,0.458333333333333
1,-0.00695158893461363,0.437121342021033,0.471822130772748
1,-0.0139460448102423,0.415180612711477,0.484453589391861
1,-0.0210262345679012,0.392554012345679,0.496141975308642
1,-0.0282350251486054,0.369284407864655,0.506801554641061
1,-0.0356152834933699,0.345414666209419,0.516346593507087
1,-0.0432098765432099,0.320987654320988,0.524691358024691
1,-0.0510616712391404,0.296046239140375,0.531750114311843
1,-0.0592135345221765,0.270633287608596,0.537437128486511
1,-0.0677083333333333,0.244791666666667,0.541666666666667
1,-0.076588934613626,0.218564243255601,0.544352994970279
1,-0.0858982053040695,0.191993884316415,0.545410379515318
1,-0.095679012345679,0.165123456790123,0.544753086419753
1,-0.10597422267947,0.137995827617741,0.542295381801555
1,-0.116826703246456,0.110653863740283,0.537951531778692
1,-0.128279320987654,0.0831404320987654,0.531635802469136
1,-0.140374942844079,0.0554983996342021,0.523262459990855
1,-0.153156435756744,0.0277706332876086,0.51274577046182
1,-0.166666666666667,0,0.5
1,-0.180927069044353,-0.0277706332876086,0.484975137174211
1,-0.195873342478281,-0.0554983996342021,0.467764060356653
1,-0.21141975308642,-0.0831404320987654,0.44849537037037
1,-0.22748056698674,-0.110653863740283,0.427297668038409
1,-0.243970050297211,-0.137995827617741,0.404299554183813
1,-0.260802469135802,-0.165123456790123,0.37962962962963
1,-0.277892089620485,-0.191993884316415,0.353416495198903
1,-0.295153177869227,-0.218564243255601,0.325788751714678
1,-0.3125,-0.244791666666667,0.296875
1,-0.329846822130773,-0.270633287608596,0.266803840877915
1,-0.347107910379515,-0.296046239140375,0.235703875171468
1,-0.364197530864197,-0.320987654320988,0.203703703703704
1,-0.381029949702789,-0.345414666209419,0.170931927297668
1,-0.39751943301326,-0.369284407864655,0.137517146776406
1,-0.41358024691358,-0.392554012345679,0.103587962962963
1,-0.429126657521719,-0.415180612711477,0.0692729766803841
1,-0.444072930955647,-0.437121342021033,0.0347007887517146
1,-0.458333333333333,-0.458333333333333,0
1,-0.471822130772748,-0.478773719707362,-0.0347007887517146
1,-0.484453589391861,-0.498399634202103,-0.0692729766803841
1,-0.496141975308642,-0.517168209876543,-0.103587962962963
1,-0.506801554641061,-0.535036579789666,-0.137517146776406
1,-0.516346593507087,-0.551961877000457,-0.170931927297668
1,-0.524691358024691,-0.567901234567901,-0.203703703703704
1,-0.531750114311843,-0.582811785550983,-0.235703875171468
1,-0.537437128486511,-0.596650663008688,-0.266803840877915
1,-0.541666666666667,-0.609375,-0.296875
1,-0.544352994970279,-0.620941929583905,-0.325788751714678
1,-0.545410379515318,-0.631308584819387,-0.353416495198903
1,-0.544753086419753,-0.640432098765432,-0.37962962962963
1,-0.542295381801555,-0.648269604481024,-0.404299554183813
1,-0.537951531778692,-0.654778235025149,-0.427297668038409
1,-0.531635802469136,-0.65991512345679,-0.44849537037037
1,-0.523262459990855,-0.663637402834934,-0.467764060356653
1,-0.51274577046182,-0.665902206218564,-0.484975137174211
1,-0.5,-0.666666666666667,-0.5
1,-0.484975137174211,-0.665902206218564,-0.51274577046182
1,-0.467764060356653,-0.663637402834934,-0.523262459990855
1,-0.44849537037037,-0.65991512345679,-0.531635802469136
1,-0.427297668038409,-0.654778235025149,-0.537951531778692
1,-0.404299554183813,-0.648269604481024,-0.542295381801555
1,-0.37962962962963,-0.640432098765432,-0.544753086419753
1,-0.353416495198903,-0.631308584819387,-0.545410379515318
1,-0.325788751714678,-0.620941929583905,-0.544352994970279
1,-0.296875,-0.609375,-0.541666666666667
1,-0.266803840877915,-0.596650663008688,-0.537437128486511
1,-0.235703875171468,-0.582811785550983,-0.531750114311843
1,-0.203703703703704,-0.567901234567901,-0.524691358024691
1,-0.170931927297668,-0.551961877000457,-0.516346593507087
1,-0.137517146776406,-0.535036579789666,-0.506801554641061
1,-0.103587962962963,-0.517168209876543,-0.496141975308642
1,-0.0692729766803841,-0.498399634202103,-0.484453589391861
1,-0.0347007887517146,-0.478773719707362,-0.471822130772748
1,0,-0.458333333333333,-0.458333333333333
1,0.0347007887517146,-0.437121342021033,-0.444072930955647
1,0.0692729766803841,-0.415180612711477,-0.429126657521719
1,0.103587962962963,-0.392554012345679,-0.41358024691358
1,0.137517146776406,-0.369284407864655,-0.39751943301326
1,0.170931927297668,-0.345414666209419,-0.381029949702789
1,0.203703703703704,-0.320987654320988,-0.364197530864197
1,0.235703875171468,-0.296046239140375,-0.347107910379515
1,0.266803840877915,-0.270633287608596,-0.329846822130773
1,0.296875,-0.244791666666667,-0.3125
1,0.325788751714678,-0.218564243255601,-0.295153177869227
1,0.353416495198903,-0.191993884316415,-0.277892089620485
1,0.37962962962963,-0.165123456790123,-0.260802469135802
1,0.404299554183813,-0.137995827617741,-0.243970050297211
1,0.427297668038409,-0.110653863740283,-0.22748056698674
1,0.44849537037037,-0.0831404320987654,-0.21141975308642
1,0.467764060356653,-0.0554983996342021,-0.195873342478281
1,0.484975137174211,-0.0277706332876086,-0.180927069044353
1,0.5,0,-0.166666666666667
